date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,15.51,0.3311
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,32.77,0.6995
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,54.46,1.1624
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,86.23,1.8406
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,82.83,1.768
9/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,34.35,0.7332
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,72.36,1.5274
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,12.6,0.266
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.51,0.2641
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,30.9,0.6522
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,66.36,1.4007
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,87.29,1.8425
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,64.33,1.3579
10/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,30.97,0.6537
11/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Potatoes (Irish),KG,actual,Retail,PHP,69.33,1.4203
11/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,12.87,0.2637
11/15/2008,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.27,0.2514
